order_item_id,order_date,delivery_date,item_id,item_size,item_color,brand_id,item_price,user_id,user_title,user_dob,user_state,user_reg_date,return
1,2016-06-22,2016-06-27,643,38,navy,30,49.9,30822,Mrs,1969-04-17,Saxony,2016-06-23,0
2,2016-06-22,,337,152,grey,30,19.95,30822,Mrs,1969-04-17,Saxony,2016-06-23,0
3,2016-06-22,2016-06-27,270,xxl,grey,49,79.9,30823,Mrs,1970-04-22,Baden-Wuerttemberg,2015-03-15,1
4,2016-06-22,2016-06-27,142,xxl,grey,49,99.9,30823,Mrs,1970-04-22,Baden-Wuerttemberg,2015-03-15,0
5,2016-06-22,2016-06-27,561,xxl,grey,3,14.9,30823,Mrs,1970-04-22,Baden-Wuerttemberg,2015-03-15,1
6,2016-06-22,2016-06-27,579,xxl,grey,3,19.9,30823,Mrs,1970-04-22,Baden-Wuerttemberg,2015-03-15,1
7,2016-06-22,2016-06-27,72,41,grey,1,119.9,30823,Mrs,1970-04-22,Baden-Wuerttemberg,2015-03-15,0
8,2016-06-22,2016-06-27,106,50,white,6,39.9,30823,Mrs,1970-04-22,Baden-Wuerttemberg,2015-03-15,1
9,2016-06-22,2016-06-27,195,xxl,blue,46,13.9,30823,Mrs,1970-04-22,Baden-Wuerttemberg,2015-03-15,1
10,2016-06-22,2016-06-27,195,xxl,grey,46,19.9,30823,Mrs,1970-04-22,Baden-Wuerttemberg,2015-03-15,1
11,2016-06-22,2016-07-05,25,xxl,grey,5,79.9,30823,Mrs,1970-04-22,Baden-Wuerttemberg,2015-03-15,0
12,2016-06-22,2016-06-27,212,l,grey,5,39.9,30824,Mrs,,Lower Saxony,2016-06-23,0
13,2016-06-22,2016-06-27,378,l,black,5,59.9,30824,Mrs,,Lower Saxony,2016-06-23,0
14,2016-06-22,2016-06-27,222,l,black,3,29.9,30824,Mrs,,Lower Saxony,2016-06-23,0
543,2016-06-22,2016-06-26,233,s,beige,25,39.9,19824,Mrs,1970-06-21,Lower Saxony,2015-02-17,1
544,2016-06-22,2016-06-26,27,6,magenta,19,39.9,19824,Mrs,1970-06-21,Lower Saxony,2015-02-17,1
545,2016-06-22,2016-06-26,27,5+,black,19,39.9,19824,Mrs,1970-06-21,Lower Saxony,2015-02-17,1
546,2016-06-22,2016-06-26,27,6,black,19,39.9,19824,Mrs,1970-06-21,Lower Saxony,2015-02-17,0
547,2016-06-22,2016-06-26,242,l,black,20,59.9,19824,Mrs,1970-06-21,Lower Saxony,2015-02-17,0
548,2016-06-22,2016-06-26,173,m,brown,20,19.9,18912,Mrs,1965-06-10,Bavaria,2015-02-17,1
549,2016-06-22,2016-06-26,896,m,grey,33,9.9,18912,Mrs,1965-06-10,Bavaria,2015-02-17,1
550,2016-06-22,2016-06-26,896,l,grey,33,9.9,18912,Mrs,1965-06-10,Bavaria,2015-02-17,1
551,2016-06-22,2016-06-26,896,m,grey,33,9.9,18912,Mrs,1965-06-10,Bavaria,2015-02-17,1
552,2016-06-22,2016-06-26,2,l,black,2,19.9,18912,Mrs,1965-06-10,Bavaria,2015-02-17,1
553,2016-06-22,2016-06-26,2,m,black,2,19.9,18912,Mrs,1965-06-10,Bavaria,2015-02-17,0
554,2016-06-22,2016-06-26,2,l,mocca,2,19.9,18912,Mrs,1965-06-10,Bavaria,2015-02-17,1
555,2016-06-22,2016-06-26,2,m,mocca,2,19.9,18912,Mrs,1965-06-10,Bavaria,2015-02-17,1
556,2016-06-22,,173,l,brown,20,19.9,18912,Mrs,1965-06-10,Bavaria,2015-02-17,0
557,2016-06-22,,896,l,red,33,9.9,18912,Mrs,1965-06-10,Bavaria,2015-02-17,0
558,2016-06-22,,896,l,blue,33,9.9,18912,Mrs,1965-06-10,Bavaria,2015-02-17,0
559,2016-06-22,2016-06-26,92,xl,turquoise,42,69.9,30920,Mrs,1952-05-24,Bavaria,2015-02-17,0
560,2016-06-22,2016-06-26,423,xl,red,33,12.9,30920,Mrs,1952-05-24,Bavaria,2015-02-17,1
561,2016-06-22,2016-06-26,402,l,grey,46,14.9,30920,Mrs,1952-05-24,Bavaria,2015-02-17,1
562,2016-06-22,2016-06-26,402,xl,grey,46,14.9,30920,Mrs,1952-05-24,Bavaria,2015-02-17,1
563,2016-06-22,2016-06-26,423,xl,red,33,12.9,30920,Mrs,1952-05-24,Bavaria,2015-02-17,1
564,2016-06-22,2016-06-28,423,l,red,33,12.9,30920,Mrs,1952-05-24,Bavaria,2015-02-17,1
565,2016-06-22,2016-06-27,640,unsized,stained,68,29.9,9214,Mrs,1959-02-23,Schleswig-Holstein,2015-05-13,0
566,2016-06-22,2016-06-27,133,39,purple,38,89.9,9214,Mrs,1959-02-23,Schleswig-Holstein,2015-05-13,1
567,2016-06-22,2016-06-27,271,xl,ash,5,59.9,9214,Mrs,1959-02-23,Schleswig-Holstein,2015-05-13,1
568,2016-06-22,2016-06-27,378,xl,brown,5,59.9,9214,Mrs,1959-02-23,Schleswig-Holstein,2015-05-13,0
569,2016-06-22,2016-06-27,465,xl,ash,49,59.9,9214,Mrs,1959-02-23,Schleswig-Holstein,2015-05-13,0
570,2016-06-22,2016-06-27,25,l,blue,5,79.9,9214,Mrs,1959-02-23,Schleswig-Holstein,2015-05-13,1
571,2016-06-22,2016-06-27,315,39,grey,45,89.9,9214,Mrs,1959-02-23,Schleswig-Holstein,2015-05-13,0
572,2016-06-22,2016-06-27,191,xl,grey,3,21.9,9214,Mrs,1959-02-23,Schleswig-Holstein,2015-05-13,0
573,2016-06-22,2016-06-27,191,xl,ash,3,21.9,9214,Mrs,1959-02-23,Schleswig-Holstein,2015-05-13,0
574,2016-06-22,2016-07-18,315,39,grey,45,89.9,9214,Mrs,1959-02-23,Schleswig-Holstein,2015-05-13,1
603,2016-06-22,2016-06-27,242,xl,black,20,59.9,30928,Mrs,1946-04-30,North Rhine-Westphalia,2015-08-01,1
604,2016-06-22,2016-06-27,358,xxl,grey,74,39.9,30928,Mrs,1946-04-30,North Rhine-Westphalia,2015-08-01,1
605,2016-06-22,2016-06-27,425,xxl,grey,46,24.9,30928,Mrs,1946-04-30,North Rhine-Westphalia,2015-08-01,1
